No.,Location of Anomaly,anomaly_start,anomaly_end,after
1,52310,52000,52620,35000
2,56750,56600,56900,35000
3,46750,46600,46900,35000
4,5500,5400,5600,2500
5,5391.5,5391,5392,4000
6,5715,5703,5727,4000
7,6532,6520,6544,4000
8,5573,5549,5597,4000
9,4876,4852,4900,4000
10,6030,6006,6054,4000
11,11950,11800,12100,10000
12,16050,16000,16100,15000
13,16050,16000,16100,15000
14,17050,17000,17100,8000
15,16950,16800,17100,5000
16,17000,16900,17100,5000
17,17050,17000,17100,5000
18,17050,17000,17100,8000
19,6190,6168,6212,5000
20,7281.5,7175,7388,5000
21,5970.5,5948,5993,5000
22,6586,6527,6645,4000
23,8664,8612,8716,5000
24,4541,4526,4556,3200
25,5620.5,5607,5634,2800
26,5769,5684,5854,1700
27,4193,4187,4199,1200
28,3253.5,3198,3309,1600
29,4536,4485,4587,2300
30,4192,4187,4197,3000
31,5839,5759,5919,2700
32,4854,4675,5033,1000
33,6285,6200,6370,4000
34,3551.5,3474,3629,1500
35,5919.5,5865,5974,2500
36,6640,6599,6681,4200
37,17235,17210,17260,5000
38,27897,27862,27932,5000
39,16405,16390,16420,5000
40,17455,17390,17520,6000
41,17455,17390,17520,7000
42,12305,12190,12420,7000
43,19360,19280,19440,10000
44,18653,18485,18821,9000
45,23537,23357,23717,14000
46,23441,23405,23477,16000
47,24041,24005,24077,18000
48,6036.5,5988,6085,3500
49,5372.5,5365,5380,3500
50,6036.5,5988,6085,3500
51,9335,9330,9340,3500
52,4760,4711,4809,3500
53,2879.5,2764,2995,1500
54,5949.5,5920,5979,2700
55,21025,20950,21100,10000
56,11161,11111,11211,5000
57,16050,16000,16100,6000
58,12274,12240,12308,10000
59,38650,38500,38800,20000
60,46650,46500,46800,22000
61,60200,59900,60500,24500
62,33125,33070,33180,18500
63,31525,31200,31850,18500
64,38800,38400,39200,23400
65,7015,7000,7030,3000
66,8012.5,8000,8025,3700
67,7025,7000,7050,5200
68,6533,6508,6558,1300
69,8500.5,8500,8501,3200
70,52700,52600,52800,17555
71,52700,52600,52800,23000
72,52700,52600,52800,20000
73,72322.5,72150,72495,60000
74,12600,12400,12800,4000
75,13600,13400,13800,4000
76,131290,130700,131880,48000
77,110800.5,110800,110801,58000
78,110336,110260,110412,100000
79,168250,168250,168250,30000
80,168250.5,168250,168251,30000
81,158250.5,158250,158251,45000
82,128430.5,128430,128431,70000
83,143461,143411,143511,38000
84,35824,35774,35874,12000
85,35824,35774,35874,10000
86,68075,67950,68200,20000
